lob,grcode,fault,detected,duplicate_check,nonnegative_check,development_check,completeness_check,extreme_increment_check
ppauto,25275,development_mismatch,True,False,False,True,False,False
ppauto,25275,missing_cell,True,False,False,False,True,False
ppauto,25275,unit_x1000,False,False,False,False,False,False
ppauto,8427,duplicate_key,True,True,False,False,False,False
ppauto,8427,negative_paid,True,False,True,False,False,False
ppauto,8427,development_mismatch,True,False,False,True,False,False
ppauto,8427,missing_cell,True,False,False,False,True,False
ppauto,8427,unit_x1000,False,False,False,False,False,False
ppauto,11231,duplicate_key,True,True,False,False,False,False
ppauto,11231,negative_paid,True,False,True,False,False,False
ppauto,11231,development_mismatch,True,False,False,True,False,False
ppauto,11231,missing_cell,True,False,False,False,True,False
ppauto,11231,unit_x1000,False,False,False,False,False,False
ppauto,10019,duplicate_key,True,True,False,False,False,False
ppauto,10019,negative_paid,True,False,True,False,False,False
ppauto,10019,development_mismatch,True,False,False,True,False,False
ppauto,10019,missing_cell,True,False,False,False,True,False
ppauto,10019,unit_x1000,False,False,False,False,False,False
ppauto,13889,duplicate_key,True,True,False,False,False,False
ppauto,13889,negative_paid,True,False,True,False,False,False
ppauto,13889,development_mismatch,True,False,False,True,False,False
ppauto,13889,missing_cell,True,False,False,False,True,False
ppauto,13889,unit_x1000,False,False,False,False,False,False
prodliab,388,duplicate_key,True,True,False,False,False,False
prodliab,388,negative_paid,True,False,True,False,False,False
prodliab,388,development_mismatch,True,False,False,True,False,False
prodliab,388,missing_cell,True,False,False,False,True,False
prodliab,388,unit_x1000,True,False,False,False,False,True
prodliab,78,duplicate_key,True,True,False,False,False,False
prodliab,78,negative_paid,True,False,True,False,False,False
prodliab,78,development_mismatch,True,False,False,True,False,False
prodliab,78,missing_cell,True,False,False,False,True,False
prodliab,78,unit_x1000,False,False,False,False,False,False
prodliab,2712,duplicate_key,True,True,False,False,False,False
prodliab,2712,negative_paid,True,False,True,False,False,False
prodliab,2712,development_mismatch,True,False,False,True,False,False
prodliab,2712,missing_cell,True,False,False,False,True,False
prodliab,2712,unit_x1000,False,False,False,False,False,False
prodliab,620,duplicate_key,True,True,False,False,False,False
prodliab,620,negative_paid,True,False,True,False,False,False
prodliab,620,development_mismatch,True,False,False,True,False,False
prodliab,620,missing_cell,True,False,False,False,True,False
prodliab,620,unit_x1000,False,False,False,False,False,False
prodliab,33499,duplicate_key,True,True,True,False,False,False
prodliab,33499,negative_paid,True,False,True,False,False,False
prodliab,33499,development_mismatch,True,False,True,True,False,False
prodliab,33499,missing_cell,True,False,True,False,True,False
prodliab,33499,unit_x1000,True,False,True,False,False,False
prodliab,9571,duplicate_key,True,True,True,False,False,False
prodliab,9571,negative_paid,True,False,True,False,False,False
prodliab,9571,development_mismatch,True,False,True,True,False,False
prodliab,9571,missing_cell,True,False,True,False,True,False
prodliab,9571,unit_x1000,True,False,True,False,False,False
