stage,fault_type,topology,state_before,state_after,posterior_mean,ci_05,ci_95,cell_n
S4_MODEL,F7_ADVERSARIAL,T4_CRITIC,R,H,0.025274661128946867,3.6577363252297124e-07,0.12120960121851093,1.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K0,E,C,0.007299165167218369,1.0536681761024754e-07,0.03549441224526679,24.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K0,E,E,0.9324821295541347,0.8488980252898651,0.9859567607349605,24.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K0,E,R,0.052459541574528555,0.007727993538996262,0.12797432701668926,24.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K0,E,H,0.007759163704118494,1.1060590909836631e-07,0.038807227088884164,24.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K1,E,C,0.007556561910787167,1.6275001457222544e-07,0.036059531794486885,24.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K1,E,E,0.9318157942390651,0.8513589510479881,0.9835947180318163,24.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K1,E,R,0.05238561831964279,0.008735125250689736,0.12383708256804045,24.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K1,E,H,0.008242025530504961,1.7519139453170923e-07,0.038262620798320934,24.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K2,E,C,0.012496981703152447,2.2283214268379507e-07,0.062032164896652406,11.999999999999998
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K2,E,E,0.891432026603238,0.7628578128096036,0.9770497535931415,11.999999999999998
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K2,E,R,0.08319114130097546,0.012432120366928026,0.19757489165720185,11.999999999999998
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K2,E,H,0.012879850392634068,1.8204329977467723e-07,0.06200820805940702,11.999999999999998
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K2,R,C,0.011580511383219793,2.5115999899756703e-07,0.05704830934747714,12.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K2,R,E,0.012262045227144209,2.394991292904602e-07,0.05712134241496835,12.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K2,R,R,0.9647499136834579,0.8858736517718524,0.9992035651421268,12.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K2,R,H,0.011407529706178183,2.260944843399367e-07,0.05466669749617174,12.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K3,E,C,0.012516887508844016,2.469483764886103e-07,0.05874470124024004,12.000000000000002
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K3,E,E,0.35598563217835477,0.19504929216178205,0.5340402440930136,12.000000000000002
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K3,E,R,0.6193745907127709,0.4391552611032919,0.7839221645210249,12.000000000000002
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K3,E,H,0.012122889600030304,2.4187312678234133e-07,0.05665753794481245,12.000000000000002
